BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1660.69,3.944,17.758,5.992,35.255,51.307,914.51,52.238,123.0
1660.76,3.866,17.917,6.353,35.255,51.145,914.51,52.317,126.0
1661.01,3.107,18.509,6.879,35.255,51.139,915.105,53.076,120.0
1661.19,3.134,18.435,6.707,35.255,51.219,915.105,53.049,109.0
1661.26,3.464,18.67,6.694,35.255,51.219,914.748,52.719,110.0
1661.46,0.0,18.251,9.208,12.692,50.474,914.748,58.926,98.0
1662.73,0.0,16.983,0.304,14.476,0.037,914.629,69.919,87.0
1664.51,0.599,17.446,0.276,7.392,0.043,914.391,49.34,104.0
1665.76,2.18,20.059,0.292,5.035,0.066,928.781,47.699,104.0
1666.99,2.852,19.315,7.234,38.472,51.208,929.019,53.641,114.0
1668.07,2.81,19.352,7.437,35.492,51.098,928.781,53.684,100.0
1668.5,0.0,17.874,7.538,37.148,51.067,929.019,56.762,125.0
1669.6,0.0,17.674,7.589,37.148,51.039,928.662,57.403,113.0
1670.02,2.974,19.69,0.284,37.148,0.032,989.193,48.572,110.0
1671.56,3.056,19.502,0.271,4.44,0.0,988.955,48.491,99.0
1674.72,1.987,18.066,7.368,25.67,53.188,906.067,56.126,115.0
1676.49,3.174,18.582,7.399,26.005,53.022,906.304,54.94,117.0
1677.03,3.126,18.497,7.497,26.005,52.84,906.186,54.988,102.0
1677.35,3.128,18.536,7.404,26.005,52.981,906.305,54.985,98.0
1677.46,3.126,18.591,7.412,26.005,53.07,906.186,54.988,107.0
1677.48,3.139,18.587,7.456,26.005,52.994,906.304,54.975,106.0
1677.79,3.063,18.507,7.365,24.919,53.175,906.542,55.051,92.0
1677.84,3.135,18.475,7.41,24.919,53.074,906.305,54.979,99.0
1677.97,3.155,18.392,7.3,24.919,52.907,906.186,54.958,109.0
1678.02,3.154,18.271,7.349,24.919,52.969,906.542,54.96,101.0
1678.26,3.271,18.385,7.446,24.919,53.1,906.542,54.843,103.0
1678.31,3.181,18.348,7.436,24.919,53.057,906.542,54.932,108.0
1678.36,3.084,18.354,7.585,24.919,52.867,906.542,55.029,107.0
1678.44,3.169,18.36,7.558,24.919,53.002,905.829,54.945,113.0
1678.72,3.175,18.45,7.25,25.58,53.135,906.186,54.939,119.0
1678.76,3.169,18.473,7.336,25.58,53.161,906.186,54.945,118.0
1678.83,3.166,18.499,7.366,25.58,52.979,906.542,54.948,119.0
1679.0,3.21,18.562,7.42,25.58,52.979,906.542,54.904,116.0
1679.05,3.311,18.621,7.667,25.58,53.304,906.186,54.802,115.0
1679.24,3.325,18.664,7.652,25.58,52.948,905.829,54.788,97.0
1679.36,3.465,18.642,7.73,30.852,52.946,906.542,54.649,100.0
1679.54,3.423,18.574,7.41,30.852,53.127,906.542,54.691,103.0
1679.72,3.441,18.424,7.517,30.852,53.0,906.305,54.673,117.0
1679.77,2.915,18.433,7.522,30.852,52.852,906.423,55.199,118.0
1679.95,3.301,18.35,7.482,30.852,53.022,906.542,54.813,130.0
1680.02,3.215,18.302,7.44,30.852,53.108,906.186,54.899,126.0
1680.06,3.291,18.202,7.545,30.852,53.161,906.423,54.823,127.0
1680.25,3.147,17.956,7.276,31.412,52.99,906.186,54.967,108.0
1680.29,3.162,17.948,7.358,31.412,52.967,905.948,54.952,112.0
1680.35,3.168,17.972,7.38,31.412,53.095,906.542,54.946,109.0
1680.47,3.133,18.036,7.302,31.412,53.152,906.423,54.981,108.0
1680.5,3.154,18.061,7.317,31.412,53.146,906.305,54.96,105.0
1680.56,3.177,18.18,7.61,31.412,53.1,906.186,54.936,100.0
1680.59,3.246,18.183,7.574,31.412,53.085,905.829,54.868,104.0
1680.82,3.199,18.344,7.621,31.412,52.986,906.186,54.915,109.0
1680.84,3.18,18.358,7.644,31.412,52.821,906.423,54.934,105.0
1681.0,3.154,18.616,7.448,31.412,53.062,906.304,54.96,106.0
1681.03,3.145,18.701,7.707,31.412,53.148,905.948,54.969,107.0
1681.1,3.286,18.746,7.721,32.217,53.043,906.067,54.828,107.0
1681.21,3.249,18.801,7.39,32.217,53.104,905.948,54.865,106.0
1681.27,3.311,18.804,7.593,32.217,52.776,906.423,54.802,108.0
1681.3,3.276,18.819,7.739,32.217,52.941,905.948,54.838,111.0
1681.46,3.448,18.983,7.478,32.217,53.095,905.948,54.666,106.0
1681.48,3.457,18.982,7.361,32.217,53.099,905.948,54.656,108.0
1681.54,3.403,18.992,7.784,32.217,52.984,906.305,54.711,108.0
1681.57,3.372,18.994,7.788,32.217,53.024,906.067,54.742,106.0
1681.73,3.464,19.061,7.678,32.217,53.19,906.305,54.65,108.0
1681.75,3.451,19.04,7.619,32.217,53.205,906.186,54.663,108.0
1681.81,3.536,18.92,7.329,32.217,53.178,906.304,54.578,106.0
1681.84,3.416,18.825,7.33,32.217,53.032,906.542,54.698,110.0
1681.99,3.457,18.754,7.409,32.217,53.087,905.948,54.657,108.0
1682.02,3.546,18.866,7.462,32.217,53.121,906.067,54.568,100.0
1682.09,3.602,19.056,7.761,31.757,53.152,906.186,54.512,101.0
1682.11,3.626,19.102,7.812,31.757,53.224,906.304,54.488,106.0
1682.29,3.391,18.647,7.471,31.757,53.23,905.948,54.723,108.0
1682.35,3.368,18.419,7.58,31.757,52.984,906.542,54.746,112.0
1682.45,3.34,18.402,7.356,31.757,53.226,906.304,54.774,110.0
1682.47,3.322,18.46,7.389,31.757,53.074,906.423,54.792,108.0
1682.56,3.288,18.63,7.482,31.757,52.933,905.948,54.826,112.0
1682.62,3.208,18.681,7.444,31.757,52.986,906.304,54.906,116.0
1682.72,3.315,18.723,7.308,31.757,53.228,906.067,54.799,114.0
1682.74,3.317,18.731,7.339,31.757,53.241,906.304,54.797,109.0
1682.8,3.367,18.719,7.48,31.757,53.042,906.305,54.747,104.0
1682.83,3.316,18.687,7.545,31.757,53.007,906.067,54.798,105.0
1682.98,3.288,18.494,7.339,31.757,52.872,906.304,54.826,99.0
1683.01,3.256,18.437,7.385,31.757,53.131,906.186,54.858,99.0
1683.1,3.226,18.392,7.224,30.285,52.924,906.067,54.888,96.0
1683.19,3.265,18.33,7.186,30.285,53.218,906.186,54.848,92.0
1683.25,3.335,18.441,7.548,30.285,53.089,906.542,54.779,93.0
1683.29,3.315,18.53,7.811,30.285,53.144,906.542,54.799,92.0
1683.34,3.337,18.606,7.582,30.285,53.104,905.948,54.777,92.0
1683.37,3.289,18.609,7.559,30.285,53.197,905.948,54.825,90.0
1683.44,3.24,18.594,7.607,30.285,52.968,905.829,54.874,92.0
1683.46,3.236,18.571,7.538,30.285,53.024,905.591,54.878,93.0
1683.53,3.278,18.609,7.296,30.285,52.928,905.948,54.836,99.0
1683.55,3.265,18.664,7.5,30.285,52.901,905.948,54.848,100.0
1683.61,3.22,18.755,7.772,30.285,52.844,906.542,54.894,97.0
1683.7,3.264,18.736,7.752,30.285,52.891,906.542,54.85,98.0
1683.73,3.211,18.728,7.586,30.285,53.023,906.542,54.903,100.0
1683.79,3.264,18.734,7.567,30.285,52.992,906.423,54.85,96.0
1683.97,3.458,18.802,7.655,30.285,53.254,906.305,54.655,95.0
1683.99,3.424,18.818,7.628,30.285,53.199,906.067,54.69,96.0
1684.05,3.485,18.819,7.59,30.285,52.937,905.948,54.629,92.0
1684.08,3.516,18.785,7.509,30.285,53.045,906.423,54.598,96.0
1684.3,3.413,18.815,7.639,29.339,53.186,905.948,54.701,94.0
1684.35,3.432,18.785,7.422,29.339,53.188,905.71,54.682,93.0
1684.47,3.567,18.847,7.815,29.339,53.127,906.542,54.547,89.0
1684.51,3.532,18.83,7.729,29.339,53.167,906.542,54.582,91.0
1684.8,3.557,18.683,7.521,29.339,53.013,906.067,54.557,94.0
1684.85,3.548,18.735,7.764,29.339,53.022,905.71,54.566,94.0
1684.97,3.557,18.641,7.373,29.339,53.262,906.423,54.557,102.0
1685.01,3.558,18.625,7.543,29.339,53.123,906.186,54.556,96.0
1685.27,3.279,17.779,6.84,29.339,52.96,906.661,54.835,108.0
1685.28,3.28,17.734,6.877,29.339,52.939,906.305,54.834,114.0
1685.33,3.229,17.594,6.882,29.339,52.95,905.591,54.885,111.0
1685.35,3.175,17.533,6.866,29.339,52.872,905.591,54.938,119.0
1685.49,3.06,17.268,7.114,29.339,53.002,906.542,55.054,124.0
1685.51,2.995,17.266,7.254,29.339,52.962,906.542,55.119,124.0
1685.57,0.0,17.276,7.18,29.339,53.078,906.542,55.154,123.0
1685.59,0.0,17.25,7.241,29.339,53.051,906.542,55.181,118.0
1685.74,0.0,17.218,7.217,29.339,52.966,906.423,55.113,121.0
1685.76,0.0,17.216,7.219,29.339,52.977,906.542,55.089,114.0
1685.85,0.0,17.256,7.245,29.339,53.12,906.186,55.153,110.0
1685.99,0.0,17.31,7.232,29.339,53.15,906.186,55.11,97.0
1686.01,0.0,17.327,7.238,29.339,53.108,906.186,55.111,100.0
1686.07,0.0,17.567,7.342,29.339,53.04,905.71,55.159,92.0
1686.09,0.0,17.603,7.306,29.339,53.036,905.71,55.13,92.0
1686.23,0.0,17.467,7.117,29.339,53.138,906.423,55.056,75.0
1686.26,0.0,17.447,7.018,29.339,53.091,906.186,55.013,76.0
1686.32,0.0,17.386,7.389,29.339,52.823,905.948,55.027,77.0
1686.34,0.0,17.342,7.481,29.339,52.882,906.067,55.05,78.0
1686.49,0.0,17.148,7.216,29.339,53.178,906.423,55.112,85.0
1686.51,0.0,17.142,7.205,29.339,53.133,906.423,55.108,83.0
1686.57,0.0,17.087,7.179,29.339,53.148,906.186,55.038,90.0
1686.59,0.0,17.074,7.182,29.339,53.138,906.304,55.088,93.0
1686.76,0.229,18.976,7.434,20.821,51.462,948.284,56.582,110.0
1686.82,0.343,19.1,7.512,20.821,51.493,948.284,56.468,118.0
1686.99,0.416,19.56,7.522,20.821,51.856,948.284,56.395,124.0
1687.07,0.597,19.66,7.594,20.821,51.611,948.165,56.214,117.0
1687.09,0.601,19.677,7.6,20.821,51.605,948.165,56.21,119.0
1687.31,0.55,19.964,7.663,20.571,51.487,948.522,56.261,114.0
1687.35,0.607,19.885,7.636,20.571,51.455,948.284,56.204,112.0
1687.47,1.963,20.065,7.698,40.006,51.757,948.403,56.195,111.0
1687.52,1.942,20.021,7.447,40.006,51.816,948.284,56.215,98.0
1687.69,2.017,20.109,7.862,40.006,51.634,948.284,56.14,104.0
1687.81,1.91,20.092,7.789,40.006,51.449,948.522,56.248,115.0
1687.85,1.968,20.125,7.682,40.006,51.607,948.284,56.189,113.0
1688.02,2.077,20.316,7.68,40.006,51.685,948.284,56.08,116.0
1688.19,2.107,20.291,7.892,37.738,51.748,948.284,56.05,109.0
1688.3,2.213,20.055,7.297,37.738,51.493,948.641,55.944,101.0
1688.54,0.0,18.558,6.438,37.738,51.639,949.116,56.291,93.0
1688.59,0.0,18.513,6.901,37.738,51.292,948.641,56.258,94.0
1688.71,0.0,18.685,7.601,37.738,51.525,948.284,56.285,108.0
1688.73,0.0,18.657,7.456,37.738,51.571,948.403,56.271,109.0
1688.76,0.0,18.604,7.007,37.738,51.681,948.522,56.278,113.0
1689.2,0.0,18.626,7.095,37.738,51.666,948.284,56.389,106.0
1689.54,0.0,18.409,7.252,37.738,51.66,948.284,56.352,106.0
1690.58,0.128,18.089,0.247,37.738,0.115,948.284,49.094,111.0
1691.0,0.209,18.198,0.314,3.62,0.089,948.284,49.013,99.0
1691.84,0.16,18.099,0.31,3.62,0.149,947.689,49.062,108.0
1693.12,0.01,18.294,0.233,3.191,0.111,948.403,50.24,114.0
1693.49,0.0,17.865,0.337,3.191,0.0,948.284,70.795,106.0
1694.37,1.304,18.069,0.228,1.998,0.1,948.284,49.608,105.0
1694.74,1.029,18.064,0.28,1.998,0.144,948.641,49.883,121.0
1695.72,1.736,18.07,0.316,1.841,0.178,948.284,49.176,99.0
1696.1,1.704,18.076,0.255,1.802,0.098,948.284,49.208,83.0
1697.04,1.973,18.241,0.326,1.755,0.0,948.284,48.939,116.0
1698.26,1.753,18.158,0.232,3.447,0.138,948.284,48.912,0.0
1698.6,1.887,18.136,0.326,3.447,0.0,948.641,48.778,117.0
1699.49,1.491,18.155,0.224,1.736,0.125,948.046,49.174,120.0
1699.83,1.971,18.168,0.34,1.736,0.009,948.284,48.694,115.0
1700.74,1.894,18.318,0.25,3.213,0.0,948.403,48.771,108.0
1701.12,2.046,18.28,0.258,3.213,0.0,947.927,48.619,127.0
1702.05,0.01,19.97,7.588,26.004,51.415,948.879,56.739,107.0
1702.33,0.01,20.392,7.993,26.004,51.451,948.522,56.027,116.0
1702.48,0.01,20.016,7.511,30.734,51.396,948.284,56.009,120.0
1703.11,1.994,19.698,7.4,30.734,51.66,948.284,56.078,110.0
1703.47,1.945,19.767,7.498,30.734,51.424,948.284,56.127,113.0
1705.94,2.089,19.87,7.539,25.281,51.782,948.284,55.983,112.0
1706.34,2.273,20.036,7.551,25.281,51.748,948.284,55.799,127.0
1707.78,1.947,18.865,7.526,29.076,51.71,911.537,56.125,124.0
1708.82,2.768,19.021,7.324,27.112,51.804,911.537,55.304,115.0
1709.01,2.991,19.028,7.746,27.112,51.385,910.942,55.081,98.0
1709.1,3.01,19.025,7.463,27.112,51.432,910.824,55.062,84.0
1709.27,3.134,19.341,7.358,27.112,51.907,911.775,54.938,90.0
1709.31,3.191,19.338,7.266,27.112,51.846,911.299,54.881,100.0
1709.44,3.114,19.258,7.278,27.112,51.502,910.824,54.958,105.0
1709.5,3.174,19.124,7.445,25.393,51.415,911.775,54.898,111.0
1709.52,3.215,19.119,7.376,25.393,51.343,911.775,54.857,110.0
1709.62,3.229,19.25,7.714,25.393,51.738,911.299,54.843,112.0
1709.74,3.298,19.249,7.576,25.393,51.797,911.656,54.774,95.0
1709.76,3.276,19.199,7.556,25.393,51.708,911.656,54.796,113.0
1709.82,3.36,19.146,7.276,25.393,51.958,911.299,54.712,111.0
1709.99,3.316,19.295,7.632,25.393,51.571,911.537,54.756,97.0
1710.02,3.458,19.294,7.411,25.393,51.822,911.537,54.614,94.0
1710.08,3.442,19.248,7.558,25.393,51.652,911.656,54.63,90.0
1710.11,3.448,19.264,7.712,25.393,51.645,911.656,54.624,91.0
1710.2,3.394,19.199,7.585,25.393,51.844,911.299,54.677,92.0
1710.26,3.455,19.23,7.768,25.393,51.998,911.656,54.617,102.0
1710.29,3.457,19.216,7.973,25.393,51.679,911.894,54.615,109.0
1710.36,3.415,19.227,7.838,25.393,51.263,911.537,54.657,118.0
1710.45,3.451,19.251,7.506,25.393,51.303,911.418,54.621,117.0
1710.47,3.44,19.253,7.529,25.522,51.301,911.418,54.632,115.0
1710.53,3.457,19.238,7.221,25.522,51.774,911.299,54.615,110.0
1710.56,3.463,19.201,7.229,25.522,51.768,911.061,54.609,116.0
1710.72,3.495,19.567,7.879,25.522,51.645,911.656,54.577,125.0
1710.74,3.494,19.58,7.888,25.522,51.567,911.537,54.578,142.0
1710.81,3.428,19.543,7.891,25.522,51.383,911.537,54.644,129.0
1710.83,3.452,19.439,7.941,25.522,51.432,911.537,54.62,130.0
1710.98,3.273,19.122,7.355,25.522,51.689,911.775,54.799,115.0
1711.01,3.346,19.106,7.242,25.522,51.679,911.537,54.726,108.0
1711.08,3.154,19.041,7.23,25.522,51.635,911.656,54.918,96.0
1711.19,3.052,19.172,7.24,25.522,51.78,911.18,55.02,103.0
1711.26,2.858,19.318,7.494,25.522,51.54,911.418,55.214,99.0
1711.28,2.894,19.329,7.408,25.522,51.394,911.418,55.178,108.0
1711.34,2.822,19.308,7.216,25.522,51.708,911.18,55.249,105.0
1711.37,2.71,19.358,7.205,25.522,51.915,911.775,55.362,110.0
1711.44,2.725,19.34,7.347,24.941,51.732,911.18,55.347,114.0
1711.46,2.722,19.326,7.353,24.941,51.628,911.061,55.35,103.0
1711.52,2.622,19.338,7.161,24.941,51.852,911.656,55.45,108.0
1711.55,2.617,19.414,7.021,24.941,51.787,911.775,55.455,109.0
1711.62,2.627,19.498,7.618,24.941,51.723,911.299,55.445,110.0
1711.71,2.676,19.484,7.597,24.941,51.554,911.18,55.396,117.0
1711.73,2.692,19.482,7.583,24.941,51.474,911.418,55.38,114.0
1711.8,2.45,19.518,7.646,24.941,51.559,911.894,55.622,113.0
1711.82,2.5,19.511,7.481,24.941,51.464,911.894,55.572,119.0
1711.97,2.521,19.671,7.633,24.941,51.673,911.656,55.551,115.0
1712.01,2.706,19.696,7.379,24.941,51.831,911.299,55.366,105.0
1712.05,2.577,19.76,7.466,24.941,51.698,911.299,55.495,114.0
1712.07,2.573,19.782,7.537,24.941,51.694,911.418,55.499,110.0
1712.23,2.623,19.592,7.536,24.941,51.457,910.824,55.449,116.0
1712.25,2.639,19.609,7.561,24.941,51.396,910.942,55.433,111.0
1712.31,2.606,19.721,7.884,24.941,51.571,911.894,55.466,110.0
1712.48,2.617,19.389,7.351,24.686,51.801,911.537,55.455,118.0
1712.5,2.626,19.348,7.354,24.686,51.766,911.537,55.446,124.0
1712.56,2.606,19.272,7.303,24.686,51.419,911.299,55.466,127.0
1712.58,2.631,19.266,7.358,24.686,51.369,911.418,55.441,119.0
1712.78,2.699,19.041,7.251,24.686,51.673,911.18,55.373,118.0
1712.82,2.64,19.117,7.387,24.686,51.748,911.061,55.432,113.0
1712.95,2.62,19.152,7.531,24.686,51.774,911.894,55.452,110.0
1713.07,2.587,19.002,7.44,24.686,51.455,911.537,55.485,105.0
1713.12,2.636,18.971,7.447,24.686,51.35,911.537,55.436,114.0
1713.23,2.471,18.721,7.308,24.686,51.715,911.061,55.601,120.0
1713.28,2.506,18.603,7.204,24.686,51.763,911.775,55.566,121.0
1713.57,2.401,18.698,7.26,24.802,51.407,911.418,55.671,119.0
1713.73,2.186,18.803,7.371,24.802,51.594,910.824,55.886,109.0
1713.78,2.201,18.844,7.492,24.802,51.7,910.824,55.871,108.0
1713.82,2.177,18.867,7.374,24.802,51.873,910.942,55.895,112.0
1713.85,2.145,18.87,7.252,24.802,51.766,911.061,55.927,115.0
1714.02,2.239,18.256,6.826,24.802,51.392,911.537,55.833,112.0
1714.07,2.192,18.112,6.764,24.802,51.666,911.299,55.88,111.0
1714.29,2.197,17.744,6.955,24.802,51.797,911.537,55.875,127.0
1714.32,2.207,17.718,6.956,24.802,51.801,911.537,55.865,133.0
1714.46,2.23,17.633,7.012,24.802,51.423,911.18,55.842,115.0
1714.54,2.217,17.609,6.927,24.802,51.381,911.656,55.854,111.0
1714.55,2.259,17.628,6.912,24.802,51.377,911.775,55.813,116.0
1714.61,2.19,17.575,6.951,24.802,51.55,911.537,55.882,108.0
1714.7,2.35,17.558,6.944,24.802,51.736,911.418,55.722,116.0
1714.72,2.382,17.555,6.963,24.802,51.742,911.656,55.69,117.0
1714.78,2.524,17.537,7.089,24.802,51.784,911.299,55.548,121.0
1714.81,2.519,17.566,7.24,24.802,51.713,910.942,55.553,61.0
1714.87,2.444,17.608,7.249,24.802,51.567,911.418,55.628,130.0
1714.95,0.0,17.575,7.296,24.802,51.373,911.656,55.588,122.0
1714.97,0.0,17.524,7.286,24.802,51.198,911.656,55.626,102.0
1715.03,0.0,17.523,7.308,24.802,51.43,911.18,55.632,97.0
1715.06,0.0,17.524,7.299,24.802,51.71,910.942,55.596,127.0
1715.12,0.0,17.514,7.156,24.802,51.721,911.299,55.577,128.0
1715.2,1.904,18.087,7.532,10.94,51.042,905.71,56.604,127.0
1715.23,1.936,18.118,7.785,10.94,51.096,905.948,56.573,131.0
1715.29,1.971,18.189,7.521,10.94,51.044,905.71,56.538,130.0
1715.31,2.024,18.228,7.626,10.94,50.894,905.829,56.485,131.0
1715.37,2.088,18.407,7.619,10.94,51.312,905.591,56.421,135.0
1715.45,2.191,18.426,7.81,10.94,51.409,905.472,56.318,128.0
1715.47,2.262,18.465,7.804,10.94,51.386,905.472,56.247,117.0
1715.53,2.251,18.503,7.591,10.94,51.312,905.71,56.258,117.0
1715.56,2.281,18.457,7.549,10.94,51.111,905.71,56.228,120.0
1715.62,2.246,18.531,7.441,10.94,51.495,905.472,56.263,119.0
1715.79,2.576,18.758,7.768,28.666,51.272,905.829,55.933,121.0
1715.81,2.581,18.717,7.555,28.666,51.065,905.829,55.928,335.0
1715.87,2.556,18.585,7.696,28.666,51.037,905.829,55.953,114.0
1715.95,2.634,18.544,7.54,28.666,51.071,906.186,55.875,115.0
1715.98,2.595,18.588,7.8,28.666,50.906,905.591,55.914,106.0
1716.04,2.58,18.683,7.511,28.666,51.392,905.71,55.929,113.0
1716.06,2.574,18.713,7.625,28.666,51.343,905.829,55.935,111.0
1716.82,2.728,18.979,7.438,29.522,50.894,905.472,55.781,92.0
1718.97,2.531,19.164,7.572,29.434,50.805,905.948,55.978,100.0
1719.58,3.335,19.132,7.556,29.842,50.949,905.591,55.174,58.0
1721.7,0.0,18.11,7.666,23.924,51.166,905.472,55.714,104.0
1723.04,0.328,18.273,0.34,2.513,0.237,944.003,49.745,115.0
1723.6,1.62,18.33,0.271,2.513,0.0,1307.43,48.452,121.0
1725.03,1.246,18.273,0.229,1.723,0.0,944.597,48.827,117.0
1725.49,0.971,18.526,0.229,1.723,0.0,944.716,49.102,97.0
1726.6,0.498,18.328,0.352,2.046,0.256,944.716,49.575,110.0
1727.02,0.958,18.401,0.361,2.811,0.054,944.36,49.115,112.0
1727.7,0.841,18.381,0.363,2.811,0.197,944.835,49.232,132.0
1727.99,0.557,18.357,0.203,1.754,0.144,944.597,49.516,133.0
